,food_aspect,service_aspect,ambience_aspect
423,"The pizza and tiramisu were outstanding - definite must tries. Rich, punchy...",,"popular, buzzy and sleek restaurant, ideal for drinks with friends."
424,"Gnocchi was excellent, Pizza margherita was sub-par, dough was chewy and nothing stands out with the taste",,Table and chairs were a tad small and not as comfortable as we would like for two pax.
425,Excellent food,"great service, amb: grea",great ambience
426,"starters were absolutely great (recommend the buratina) although the octopus was a bit chewy.  The gnocchi were nice as well and we had spicy chicken as the main, along with brocoli, delicious.",,"Great atmosphere especially upstairs , would recommend for dinner with friends or colleagues!"
427,"'tasty', 'crust too soft'",,
428,"Amaretto Disaronno, disappointment, amaretto sour,","server, nope,",
429,"gnocchi, mushrooms, truffles, ricotta, gnocchi was delicious, other food and drink was great,",Service was nice,3 tables
430,"excellent and super tasty gnocchi, one of the best pizzas, unique carbonara pizza",,
431,'delicious pizza','nice mood',
432,"light fluffy and beautifully spotted pizza, flavour of the dough is amazing",,
433,🌝🌝🌝🌝🌝,🌝🌝🌝🌝🌝,🌝🌝🌝🌝
434,"The food itself was good, although to me for the price you pay the portions are a bit small",,I was seated on the 2nd floor and I found the seatings a bit...
435,"'We ordered three different kind of pizzas, prosciutto rucola, romana and salsiccia, they were delicious especially accompanied by beer.'",'I didnt make reservation but they let me eat by the bar on 2nd floor','the place is full and lively.'
436,'Food is good. Kids love the pasta. Pizza is a bit off.',,
437,5 stars for the Amatriciana! Awesome how they get the bits of guanciale to be crispy little flavour explosions. Octopus was just ok. Maybe better with a bit more seasoning and a bit more char.,,
438,"pizza is average, pasta is pretty good",,
439,Food was good specially the side and pizza.,,
440,very good food,short of staff,
441,'Great pizza' ,'fast' ,'cozy'
442,"The home made pasta here are very good!, Enjoyed the Mafalde with braised lamb. It was so good.",,
443,"Delicious food, pastas, pizzas, Crack pie, order,",,quaint setting
444,Good food ,Good service ,No drama
445,The pizza was great and I absolutely love the pizza crust. It’s soft and easy to bite. However there isn’t much variety and I felt the menu is a little too heavy on the carb side.,,
446,The food was great,service was excellent,second level of the restaurant being full
447,,"took 25 mins for them to ask me about the order, stood there but none of... ",
448,"carbonara pizza, gnocchi, calamari, dough too tough and chewy, batter too thick and dry, gnocchi not something to shout about",Intro by waiter saying it’s the “BEST” calamari he eaten,
449,"no more seat inside, pregnant wife can't drink anything on the beverage menu and was hungry and frowning",no more seat inside,"sit wasn't ideal, weather was hot"
450,Cheese 🧀♥️ ,,
451,"Fantastic food, flatbread, pumpkin, espresso martini, Great vegetarian starter selection, veg pizza, perfect wine recommendation,","better service, HIGHLY recommend, perfect wine recommendation,",
452,"pasta was handmade, pizza was amazing","2 thumbs up for the service, amb: nic",nice ambience
453,"'Great food', 'pasta portion was too small'","NA, amb: 'Nic","'Nice ambience', 'pricing is a tad high'"
454,,Host treated us with disrespect. Don’t recommend location as their customer service lacks professionalism.,
455,Pizza is amazing. Love the dough,,
456,Great pizza and wine,Service was great,"reserve early, walk in, sit outside, shift indoors, opened up the 2nd storey"
457,'Pizza quite okay though had better than this','One staff was rude',
458,Food was great. Love the pizza.,"Staff was warm. Service was excellent. Even at closing, staff ensured that we were well taken care of.",
459,"'messed up on an order', 'fixed it very quickly', 'satisfied', '$40+ pizza comes with big cheese', 'See photo' ","'fixed it very quickly', 'very professional'",
460,"""the best pizza i've ever had""",,
461,"best italian restaurant, best pizza i’ve eaten, frutti de mare, great food,","ordering took a bit of time due to miscomm, service recovery was really good, overall great experience",
462,"The pizza crust was fabulous, as was the honey/chili/salami pizza.","Great service, nice atmosphere, and they didn’t treat me like a leper for dining alone.",Nice atmosphere
463,"truffle gnocchi had great flavour and bounce, Salami pizza was also well balanced, chilli honey was a nice touch to balance the saltiness of the salami",Service staff was attentive and friendly,
464,"Amazing Italian food, seasonal asparagus, signature/well-known gnocchi dish, fig tart",excellent,
465,"amazing food, potato & pulpo, daily special,",,"cozy Italian restaurant, tucked away on a side street"
466,"Good food and drinks,","very attentive staff,",Nice and cosy Italian restaurant with their own fire oven
467,"Best pizza I’ve had in my life, Please order the Sopressata, Unbelievable",,
468,"Great tasty food, beat pizza in Singapore as wood fired",helpful attentive staff,
469,Good food.,Service staffs are helpful And polite!,Indoor seating is a must.
470,"'Beware of eating pizzas here. It will be difficult to settle for your neighborhood pizzeria after this. Stunning, tasty and memorable pizzas.'",,
471,"Amazing food, calamari, roast pumpkin, bufala margherita,","staff were great,",
472,Serving up Italian with a hint of Mediterranean,Popular place that is usually packed,
473,Pizza tastes delicious. Pizza dough was very fresh and soft.,Staff is really humble and hospitality is very nice.,Nice and cozy place at the heart of Arab street.
474,Vessel sprouts and pizza,,
475,The food was really good,"The service was great, amb: Th",The ambience was really inviting and cozy.
476,'too extra salty pizza' and 'extra oily gnocchi','Nothing special',
477,"The food was simply one of the best I've tasted. Their bread, pasta, pizza and even their tiramisu are mouth watering. ",,
478,fantastic food ,"staff who are passionate about their menu and service, did I say service?, in a country that sometimes struggles with delivering",
479,asparagus on the daily specials menu,Loved the way they plated it,Much like the first time with my ex.
480,cold cuts were extremely basic with little flavor,,
481,"'Had a full carbs meal. But it was well worth it. One of the best pizza’s I had. Very delicious. Gnocchi tasted good, but it was too filling.'",,
482,Great food even for vegeterians,Very nice and polite staff,
483,"The best gnocchi we've ever tasted! Soft, light, fluffy. Incredible. We also had a daily special Napolitano style pizza, with one of the best crusts I've ever had. ",NA ,
484,,"Poor restaurant management, do not book this place",
485,,"'reserved one month in advance, restaurant confirmed. When I went there on the day of reservation it was closed for renovation. Emailed, called, WhatsApp’d them, no response. Do not trust this place at all.'",
486,Delicious food! Enjoyed the Pumpkin anti pasti.,Do book in advance for guaranteed seating as is quite small,Outdoor seating is nice for the atmosphere n street vibes. Celebrated my 30th birthday here.
487,'Yummy!' said the customer as he enjoyed the delicious meal.,The service was top-notch.,the atmosphere was cozy and inviting.
488,"below average, took forever to arrive, calamari was soft not crisp, salad was doused in vinegar, mushroom pizza was full of salt",,
489,"Squid Ink Pasta, Fusili Nero, tasty, first bite, more,",,
490,"'Fortunately there is still bar counter seats as we didn’t make any reservation. Seem everyone is raving about their pizza, we order the carbonara to share. It was good.  We also order the popular Gnocchi.'",'Very nice cozy restaurant.','Very nice cozy restaurant.'
491,'Must try with the gnocchi! The pizzas are great too and the dough isn’t dry','Service was good','ambience was great too. Perfect for dates or catching up in a group.'
